COUNTRY,ECON_CODE,ISO_A3,NE_ADM0_A3,REGION,INCOME_GRP,REPORT_YEAR,PAT_DAYS,PAT_WEEKS,PAT_MONTHS,PAT_CLASS_ID,PAT_CLASS_DAYS,PAT_CLASS_WEEKS,PAT_CLASS_DESC,PAT_PAID_STATUS,FATHER_INCENTIVES_STATUS,FATHER_INCENTIVES_SOURCE,PARENTHOOD_LF,PARENTHOOD_SF,PARENTHOOD_EP,SOURCE_NOTE
Latvia,LVA,LVA,LVA,High income: OECD,High income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,Yes,"Labor Law, Art. 155",100.0,50.0,93.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Lebanon,LBN,LBN,LBN,Middle East & North Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,42.75,0.0,23.56,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Lesotho,LSO,LSO,LSO,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,46.5,0.0,28.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Liberia,LBR,LBR,LBR,Sub-Saharan Africa,Low income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,25.0,0.0,18.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Libya,LBY,LBY,LBY,Middle East & North Africa,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,50.0,0.0,50.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Lithuania,LTU,LTU,LTU,High income: OECD,High income,2026,30,4.3,1.0,5,29+ days,4+ weeks,Four weeks or more,Yes,No,Insufficient evidence located,100.0,50.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Luxembourg,LUX,LUX,LUX,High income: OECD,High income,2026,194,27.7,6.4,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Code du Travail, Art. L. 233-16",100.0,75.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Madagascar,MDG,MDG,MDG,Sub-Saharan Africa,Low income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,67.75,0.0,66.67,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Malawi,MWI,MWI,MWI,Sub-Saharan Africa,Low income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,64.25,0.0,29.44,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Malaysia,MYS,MYS,MYS,East Asia & Pacific,Upper middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,62.5,0.0,43.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Maldives,MDV,MDV,MDV,South Asia,Upper middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,45.5,25.0,39.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Mali,MLI,MLI,MLI,Sub-Saharan Africa,Low income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,55.25,25.0,54.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Malta,MLT,MLT,MLT,Middle East & North Africa,High income,2026,74,10.6,2.4,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Work-Life Balance for Parents and Carers Regulations, Sec. 12",87.5,75.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Marshall Islands,MHL,MHL,MHL,East Asia & Pacific,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,0.0,0.0,0.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Mauritania,MRT,MRT,MRT,Sub-Saharan Africa,Lower middle income,2026,1,0.1,0.0,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,51.75,25.0,38.81,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Mauritius,MUS,MUS,MUS,Sub-Saharan Africa,Upper middle income,2026,28,4.0,0.9,5,29+ days,4+ weeks,Four weeks or more,Yes,No,Insufficient evidence located,75.0,0.0,56.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Mexico,MEX,MEX,MEX,Latin America & Caribbean,Upper middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,84.0,50.0,50.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Micronesia, Fed. Sts.",FSM,FSM,FSM,East Asia & Pacific,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,0.0,0.0,0.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Moldova,MDA,MDA,MDA,Europe & Central Asia,Upper middle income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,50.0,75.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Mongolia,MNG,MNG,MNG,East Asia & Pacific,Upper middle income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,25.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Montenegro,MNE,MNE,MNE,Europe & Central Asia,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,Yes,"Labor Law of 2019, Art. 123",75.0,75.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Morocco,MAR,MAR,MAR,Middle East & North Africa,Lower middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,80.25,50.0,74.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Mozambique,MOZ,MOZ,MOZ,Sub-Saharan Africa,Low income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,85.5,25.0,60.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Myanmar,MMR,MMR,MMR,East Asia & Pacific,Lower middle income,2026,15,2.1,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,75.0,0.0,56.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Namibia,NAM,NAM,NAM,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,71.5,25.0,47.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Nepal,NPL,NPL,NPL,South Asia,Lower middle income,2026,15,2.1,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,62.5,50.0,37.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Netherlands,NLD,NLD,NLD,High income: OECD,High income,2026,105,15.0,3.4,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Work and Care Act, Arts. 4:2, 4:2a and 4:2b",100.0,100.0,81.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
New Zealand,NZL,NZL,NZL,High income: OECD,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,75.0,25.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Nicaragua,NIC,NIC,NIC,Latin America & Caribbean,Lower middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,73.25,25.0,62.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Niger,NER,NER,NER,Sub-Saharan Africa,Low income,2026,1,0.1,0.0,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,64.25,0.0,37.94,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Nigeria,NGA,NGA,NGA,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,21.5,25.0,10.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
North Macedonia,MKD,MKD,MKD,Europe & Central Asia,Upper middle income,2026,2,0.3,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,Yes,"Labor Relations Act, Art. 101",78.5,100.0,57.56,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Norway,NOR,NOR,NOR,High income: OECD,High income,2026,105,15.0,3.4,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Working Environment Act, Secs. 12 and 15",100.0,75.0,87.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Oman,OMN,OMN,OMN,Middle East & North Africa,High income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,87.5,25.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Pakistan,PAK,PAK,PAK,South Asia,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,37.5,50.0,25.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Palau,PLW,PLW,PLW,East Asia & Pacific,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,0.0,0.0,0.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Panama,PAN,PAN,PAN,Latin America & Caribbean,High income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,80.25,50.0,70.06,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Papua New Guinea,PNG,PNG,PNG,East Asia & Pacific,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,0.0,0.0,0.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Paraguay,PRY,PRY,PRY,Latin America & Caribbean,Upper middle income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,50.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Peru,PER,PER,PER,Latin America & Caribbean,Upper middle income,2026,10,1.4,0.3,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,92.75,75.0,69.56,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Philippines,PHL,PHL,PHL,East Asia & Pacific,Lower middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,75.0,50.0,43.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Poland,POL,POL,POL,High income: OECD,High income,2026,77,11.0,2.5,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Labor Code, Art. 177",100.0,75.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Portugal,PRT,PRT,PRT,High income: OECD,High income,2026,65,9.3,2.1,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Labor Code, Art. 40(3)",100.0,75.0,75.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Puerto Rico (US),PRI,PRI,PRI,Latin America & Caribbean,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,39.25,0.0,34.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Qatar,QAT,QAT,QAT,Middle East & North Africa,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,12.75,0.0,12.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Romania,ROM,ROU,ROU,Europe & Central Asia,High income,2026,81,11.6,2.7,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Law No. 210 of 31 December 1999, Art. 4",100.0,75.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Russian Federation,RUS,RUS,RUS,Europe & Central Asia,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,75.0,25.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Rwanda,RWA,RWA,RWA,Sub-Saharan Africa,Low income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,75.0,75.0,45.31,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Samoa,WSM,WSM,WSM,East Asia & Pacific,Upper middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,44.75,50.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
San Marino,SMR,SMR,SMR,Europe & Central Asia,High income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,Yes,"Law No.129/2022, Arts. 36-38",100.0,50.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Saudi Arabia,SAU,SAU,SAU,Middle East & North Africa,High income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,76.75,75.0,45.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Senegal,SEN,SEN,SEN,Sub-Saharan Africa,Lower middle income,2026,1,0.1,0.0,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,76.75,25.0,65.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Serbia,SRB,SRB,SRB,Europe & Central Asia,Upper middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,87.5,50.0,62.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Seychelles,SYC,SYC,SYC,Sub-Saharan Africa,High income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,25.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Sierra Leone,SLE,SLE,SLE,Sub-Saharan Africa,Low income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,75.0,0.0,62.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Singapore,SGP,SGP,SGP,East Asia & Pacific,High income,2026,28,4.0,0.9,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Child Development Co-Savings Act, Sec. 12H",62.5,75.0,62.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Slovak Republic,SVK,SVK,SVK,High income: OECD,High income,2026,196,28.0,6.4,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Labor Code, Secs. 64, 157",100.0,100.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Slovenia,SVN,SVN,SVN,High income: OECD,High income,2026,175,25.0,5.7,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Labor Relations Act, Art. 115",100.0,75.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Solomon Islands,SLB,SLB,SLB,East Asia & Pacific,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,21.5,25.0,8.06,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Somalia, Fed. Rep.",SOM,SOM,SOM,Sub-Saharan Africa,Low income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,75.0,0.0,33.33,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
South Africa,ZAF,ZAF,ZAF,Sub-Saharan Africa,Upper middle income,2026,10,1.4,0.3,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,92.75,25.0,69.19,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
South Sudan,SSD,SSD,SSD,Sub-Saharan Africa,Low income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,Yes,"Labor Act 2017, Sec. 65(2)",85.5,25.0,76.83,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Spain,ESP,ESP,ESP,High income: OECD,High income,2026,133,19.0,4.4,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Estatuto de los Trabajadores, Art. 55.5 para. a y c",100.0,100.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Sri Lanka,LKA,LKA,LKA,South Asia,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,46.5,0.0,46.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
St. Kitts and Nevis,KNA,KNA,KNA,Latin America & Caribbean,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,73.25,50.0,57.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
St. Lucia,LCA,LCA,LCA,Latin America & Caribbean,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,73.25,25.0,51.81,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
St. Vincent and the Grenadines,VCT,VCT,VCT,Latin America & Caribbean,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,60.75,25.0,59.19,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Sudan,SDN,SDN,SDN,Sub-Saharan Africa,Low income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,39.25,0.0,19.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Suriname,SUR,SUR,SUR,Latin America & Caribbean,Upper middle income,2026,8,1.1,0.3,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,89.25,25.0,63.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Sweden,SWE,SWE,SWE,High income: OECD,High income,2026,104,14.9,3.4,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Parental Leave Act, Secs. 16-17",100.0,75.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Switzerland,CHE,CHE,CHE,High income: OECD,High income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,75.0,75.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Syrian Arab Republic,SYR,SYR,SYR,Middle East & North Africa,Low income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,50.0,0.0,43.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
São Tomé and Príncipe,STP,STP,STP,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,73.0,25.0,55.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Taiwan, China",TWN,TWN,TWN,East Asia & Pacific,High income,2026,189,27.0,6.2,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Act of Gender Equality in Employment, Article 15",75.0,75.0,75.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Tajikistan,TJK,TJK,TJK,Europe & Central Asia,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,75.0,25.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Tanzania,TZA,TZA,TZA,Sub-Saharan Africa,Lower middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,76.75,25.0,43.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Thailand,THA,THA,THA,East Asia & Pacific,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,60.5,25.0,45.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Timor-Leste,TMP,TLS,TLS,East Asia & Pacific,Lower middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,84.0,25.0,42.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Togo,TGO,TGO,TGO,Sub-Saharan Africa,Low income,2026,2,0.3,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,78.5,25.0,71.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Tonga,TON,TON,TON,East Asia & Pacific,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,0.0,0.0,0.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Trinidad and Tobago,TTO,TTO,TTO,Latin America & Caribbean,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,37.5,25.0,31.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Tunisia,TUN,TUN,TUN,Middle East & North Africa,Lower middle income,2026,1,0.1,0.0,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,34.5,25.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Türkiye,TUR,TUR,TUR,Europe & Central Asia,Upper middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,87.5,25.0,60.94,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Uganda,UGA,UGA,UGA,Sub-Saharan Africa,Low income,2026,4,0.6,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,Yes,"Employment Act, Sec. 56(3)",53.75,50.0,26.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Ukraine,UKR,UKR,UKR,Europe & Central Asia,Upper middle income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,Yes,"Labor Code of Ukraine, article 40 as amended by Law No. 1401‑IX (2021), Article 19",100.0,50.0,84.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
United Arab Emirates,ARE,ARE,ARE,Middle East & North Africa,High income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,54.5,0.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
United Kingdom,GBR,GBR,GBR,High income: OECD,High income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,Yes,"Paternity and Adoption Leave Regulations 2002, Sec. 14(1)",87.5,100.0,67.19,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
United States,USA,USA,USA,High income: OECD,High income,2026,84,12.0,2.8,5,29+ days,4+ weeks,Four weeks or more,Yes,No,Insufficient evidence located,96.5,25.0,59.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Uruguay,URY,URY,URY,Latin America & Caribbean,High income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,Yes,"Ley N. 20.312, Art. 4",100.0,100.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Uzbekistan,UZB,UZB,UZB,Europe & Central Asia,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,62.5,25.0,50.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Vanuatu,VUT,VUT,VUT,East Asia & Pacific,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,21.5,25.0,21.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Venezuela, RB",VEN,VEN,VEN,Latin America & Caribbean,N/A,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,25.0,50.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Viet Nam,VNM,VNM,VNM,East Asia & Pacific,Lower middle income,2026,5,0.7,0.2,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,84.0,75.0,63.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
West Bank and Gaza,WBG,PSE,PSE,Middle East & North Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,17.75,0.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Yemen, Rep.",YEM,YEM,YEM,Middle East & North Africa,Low income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,17.75,0.0,13.31,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Zambia,ZMB,ZMB,ZMB,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,50.0,0.0,41.67,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Zimbabwe,ZWE,ZWE,ZWE,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,50.0,25.0,31.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
